NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,DATE
Affiliated Managers Group Inc.,COM,008252108,622000,5562,data/raw/SoutheasternAssetManagement/13f322.x
Affiliated Managers Group Inc.,COM,008252108,80312000,718031,data/raw/SoutheasternAssetManagement/13f322.x
Alphabet Inc. CL C,COM,02079K107,80969000,842109,data/raw/SoutheasternAssetManagement/13f322.x
Alphabet Inc. CL C,COM,02079K107,62884000,654020,data/raw/SoutheasternAssetManagement/13f322.x
Anywhere Real Estate Inc,COM,75605Y106,32759000,4039290,data/raw/SoutheasternAssetManagement/13f322.x
Anywhere Real Estate Inc,COM,75605Y106,270000,33244,data/raw/SoutheasternAssetManagement/13f322.x
Anywhere Real Estate Inc,COM,75605Y106,52772000,6507042,data/raw/SoutheasternAssetManagement/13f322.x
Cardinal Health Inc,COM,14149Y108,1441000,21608,data/raw/SoutheasternAssetManagement/13f322.x
CNH Industrial NV - U.S.,COM,N20944109,17191000,1539077,data/raw/SoutheasternAssetManagement/13f322.x
CNH Industrial NV - U.S.,COM,N20944109,381000,34116,data/raw/SoutheasternAssetManagement/13f322.x
CNH Industrial NV - U.S.,COM,N20944109,22258000,1992702,data/raw/SoutheasternAssetManagement/13f322.x
CNX Resources Corp,COM,12653C108,97541000,6280807,data/raw/SoutheasternAssetManagement/13f322.x
CNX Resources Corp,COM,12653C108,138134000,8894656,data/raw/SoutheasternAssetManagement/13f322.x
Comcast Corporation Cl A,COM,20030N101,280000,9531,data/raw/SoutheasternAssetManagement/13f322.x
Douglas Emmett Inc,COM,25960P109,40013000,2231625,data/raw/SoutheasternAssetManagement/13f322.x
Douglas Emmett Inc,COM,25960P109,365000,20338,data/raw/SoutheasternAssetManagement/13f322.x
Douglas Emmett Inc,COM,25960P109,41232000,2299613,data/raw/SoutheasternAssetManagement/13f322.x
Empire State Realty Trust Inc.,COM,292104106,22337000,3405097,data/raw/SoutheasternAssetManagement/13f322.x
Empire State Realty Trust Inc.,COM,292104106,538000,82046,data/raw/SoutheasternAssetManagement/13f322.x
Empire State Realty Trust Inc.,COM,292104106,63605000,9695900,data/raw/SoutheasternAssetManagement/13f322.x
FedEx Corporation,COM,31428X106,100884000,679489,data/raw/SoutheasternAssetManagement/13f322.x
FedEx Corporation,COM,31428X106,752000,5064,data/raw/SoutheasternAssetManagement/13f322.x
FedEx Corporation,COM,31428X106,74514000,501876,data/raw/SoutheasternAssetManagement/13f322.x
Fiserv Inc,COM,337738108,44700000,477714,data/raw/SoutheasternAssetManagement/13f322.x
Fiserv Inc,COM,337738108,664000,7098,data/raw/SoutheasternAssetManagement/13f322.x
Fiserv Inc,COM,337738108,61112000,653112,data/raw/SoutheasternAssetManagement/13f322.x
General Electric,COM,369604301,110507000,1784959,data/raw/SoutheasternAssetManagement/13f322.x
General Electric,COM,369604301,658000,10625,data/raw/SoutheasternAssetManagement/13f322.x
General Electric,COM,369604301,83830000,1354070,data/raw/SoutheasternAssetManagement/13f322.x
Graham Holdings Company,COM,384637104,68813000,127910,data/raw/SoutheasternAssetManagement/13f322.x
Graham Holdings Company,COM,384637104,661000,1229,data/raw/SoutheasternAssetManagement/13f322.x
Graham Holdings Company,COM,384637104,67936000,126279,data/raw/SoutheasternAssetManagement/13f322.x
H World Group Limited ADR,COM,44332N106,21080000,628496,data/raw/SoutheasternAssetManagement/13f322.x
Hyatt Hotels Corp. -  Class A,COM,448579102,66596000,822582,data/raw/SoutheasternAssetManagement/13f322.x
Hyatt Hotels Corp. -  Class A,COM,448579102,626000,7733,data/raw/SoutheasternAssetManagement/13f322.x
Hyatt Hotels Corp. -  Class A,COM,448579102,148299000,1831753,data/raw/SoutheasternAssetManagement/13f322.x
IAC Inc,COM,44891N208,86123000,1555130,data/raw/SoutheasternAssetManagement/13f322.x
IAC Inc,COM,44891N208,65914000,1190216,data/raw/SoutheasternAssetManagement/13f322.x
JOYY Inc. ADR,COM,46591M109,20345000,782510,data/raw/SoutheasternAssetManagement/13f322.x
Lazard Ltd,COM,G54050102,60651000,1905455,data/raw/SoutheasternAssetManagement/13f322.x
Lazard Ltd,COM,G54050102,652000,20473,data/raw/SoutheasternAssetManagement/13f322.x
Lazard Ltd,COM,G54050102,95743000,3007934,data/raw/SoutheasternAssetManagement/13f322.x
Liberty Broadband Corporation ,COM,530307107,328000,4401,data/raw/SoutheasternAssetManagement/13f322.x
