NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,DATE
Liberty Broadband Corporation ,COM,530307107,1053000,14118,data/raw/SoutheasternAssetManagement/13f322.x
Liberty Broadband Corporation ,COM,530307305,56787000,769478,data/raw/SoutheasternAssetManagement/13f322.x
Liberty Broadband Corporation ,COM,530307305,48558000,657972,data/raw/SoutheasternAssetManagement/13f322.x
Liberty Media Corp - Braves C,COM,531229888,52000,1895,data/raw/SoutheasternAssetManagement/13f322.x
Liberty Media Corp - Braves C,COM,531229888,86957000,3162076,data/raw/SoutheasternAssetManagement/13f322.x
Lumen Technologies,COM,550241103,151230000,20773368,data/raw/SoutheasternAssetManagement/13f322.x
Lumen Technologies,COM,550241103,275579000,37854212,data/raw/SoutheasternAssetManagement/13f322.x
Madison Square Garden Sports C,COM,55825T103,48494000,354849,data/raw/SoutheasternAssetManagement/13f322.x
Madison Square Garden Sports C,COM,55825T103,737000,5393,data/raw/SoutheasternAssetManagement/13f322.x
Madison Square Garden Sports C,COM,55825T103,62540000,457629,data/raw/SoutheasternAssetManagement/13f322.x
Masonite International Corpora,COM,575385109,18000,257,data/raw/SoutheasternAssetManagement/13f322.x
Masonite International Corpora,COM,575385109,28791000,403854,data/raw/SoutheasternAssetManagement/13f322.x
"Mattel, Inc.",COM,577081102,98219000,5185793,data/raw/SoutheasternAssetManagement/13f322.x
"Mattel, Inc.",COM,577081102,505000,26668,data/raw/SoutheasternAssetManagement/13f322.x
"Mattel, Inc.",COM,577081102,164745000,8698278,data/raw/SoutheasternAssetManagement/13f322.x
Melco Resorts & Entertainment ,COM,585464100,537000,80926,data/raw/SoutheasternAssetManagement/13f322.x
MGM Resorts International,COM,552953101,79660000,2680342,data/raw/SoutheasternAssetManagement/13f322.x
MGM Resorts International,COM,552953101,413000,13897,data/raw/SoutheasternAssetManagement/13f322.x
MGM Resorts International,COM,552953101,77419000,2604940,data/raw/SoutheasternAssetManagement/13f322.x
Oscar Health Inc,COM,687793109,32000,6321,data/raw/SoutheasternAssetManagement/13f322.x
Oscar Health Inc,COM,687793109,55591000,11140551,data/raw/SoutheasternAssetManagement/13f322.x
Paya Holdings Inc,COM,70434P103,672000,110045,data/raw/SoutheasternAssetManagement/13f322.x
PVH Corp,COM,693656100,50381000,1124569,data/raw/SoutheasternAssetManagement/13f322.x
PVH Corp,COM,693656100,55894000,1247644,data/raw/SoutheasternAssetManagement/13f322.x
RenaissanceRe Holdings Ltd.,COM,G7496G103,6924000,49323,data/raw/SoutheasternAssetManagement/13f322.x
RenaissanceRe Holdings Ltd.,COM,G7496G103,661000,4707,data/raw/SoutheasternAssetManagement/13f322.x
RenaissanceRe Holdings Ltd.,COM,G7496G103,37626000,268007,data/raw/SoutheasternAssetManagement/13f322.x
Stanley Black & Decker Inc,COM,854502101,8850000,117677,data/raw/SoutheasternAssetManagement/13f322.x
Stanley Black &amp; Decker Inc,COM,854502101,25928000,344739,data/raw/SoutheasternAssetManagement/13f322.x
Syneos Health Inc,COM,87166B102,497000,10550,data/raw/SoutheasternAssetManagement/13f322.x
Vimeo Inc.,COM,92719V100,19342000,4835524,data/raw/SoutheasternAssetManagement/13f322.x
Vimeo Inc.,COM,92719V100,25843000,6460796,data/raw/SoutheasternAssetManagement/13f322.x
Warner Bros Discovery Inc,COM,934423104,88686000,7711868,data/raw/SoutheasternAssetManagement/13f322.x
Warner Bros Discovery Inc,COM,934423104,552000,48002,data/raw/SoutheasternAssetManagement/13f322.x
Warner Bros Discovery Inc,COM,934423104,68770000,5979994,data/raw/SoutheasternAssetManagement/13f322.x
Warner Music Group Corp.,COM,934550203,44771000,1928946,data/raw/SoutheasternAssetManagement/13f322.x
Warner Music Group Corp.,COM,934550203,33412000,1439554,data/raw/SoutheasternAssetManagement/13f322.x
Westrock Coffee Company,COM,96145W103,38000,3841,data/raw/SoutheasternAssetManagement/13f322.x
Westrock Coffee Company,COM,96145W103,9970000,1000000,data/raw/SoutheasternAssetManagement/13f322.x
Westrock Coffee Company,COM,96145W103,67758000,6796159,data/raw/SoutheasternAssetManagement/13f322.x
Westrock Coffee Company - Clas,COM,96145W103,1000,104,data/raw/SoutheasternAssetManagement/13f322.x
Westrock Coffee Company - Clas,COM,96145W103,266000,26665,data/raw/SoutheasternAssetManagement/13f322.x
Westrock Coffee Company - Clas,COM,96145W103,1807000,181231,data/raw/SoutheasternAssetManagement/13f322.x
White Mountains Insurance Grou,COM,G9618E107,60890000,46730,data/raw/SoutheasternAssetManagement/13f322.x
White Mountains Insurance Grou,COM,G9618E107,85826000,65867,data/raw/SoutheasternAssetManagement/13f322.x
XPO Logistics Inc,COM,983793100,716000,16089,data/raw/SoutheasternAssetManagement/13f322.x
