NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,DATE
"Mattel, Inc.",COM,577081102,0,48053856,data/raw/SoutheasternAssetManagement/13f123.x
"Mattel, Inc.",COM,577081102,0,490958,data/raw/SoutheasternAssetManagement/13f123.x
"Mattel, Inc.",COM,577081102,0,158874544,data/raw/SoutheasternAssetManagement/13f123.x
Melco Resorts & Entertainment ,COM,585464100,0,1030188,data/raw/SoutheasternAssetManagement/13f123.x
MGM Resorts International,COM,552953101,0,47138948,data/raw/SoutheasternAssetManagement/13f123.x
MGM Resorts International,COM,552953101,0,617305,data/raw/SoutheasternAssetManagement/13f123.x
MGM Resorts International,COM,552953101,0,97741102,data/raw/SoutheasternAssetManagement/13f123.x
Oscar Health Inc,COM,687793109,0,51941,data/raw/SoutheasternAssetManagement/13f123.x
Oscar Health Inc,COM,687793109,0,71430802,data/raw/SoutheasternAssetManagement/13f123.x
PVH Corp,COM,693656100,0,36854910,data/raw/SoutheasternAssetManagement/13f123.x
PVH Corp,COM,693656100,0,88166847,data/raw/SoutheasternAssetManagement/13f123.x
RenaissanceRe Holdings Ltd.,COM,G7496G103,0,826002,data/raw/SoutheasternAssetManagement/13f123.x
RenaissanceRe Holdings Ltd.,COM,G7496G103,0,943000,data/raw/SoutheasternAssetManagement/13f123.x
RXO Inc.,COM,74982T103,0,858877,data/raw/SoutheasternAssetManagement/13f123.x
Syneos Health Inc,COM,87166B102,0,700111,data/raw/SoutheasternAssetManagement/13f123.x
Vimeo Inc.,COM,92719V100,0,17802,data/raw/SoutheasternAssetManagement/13f123.x
Vimeo Inc.,COM,92719V100,0,23902057,data/raw/SoutheasternAssetManagement/13f123.x
Warner Bros Discovery Inc,COM,934423104,0,55627841,data/raw/SoutheasternAssetManagement/13f123.x
Warner Bros Discovery Inc,COM,934423104,0,724830,data/raw/SoutheasternAssetManagement/13f123.x
Warner Bros Discovery Inc,COM,934423104,0,93033199,data/raw/SoutheasternAssetManagement/13f123.x
Warner Music Group Corp.,COM,934550203,0,26203092,data/raw/SoutheasternAssetManagement/13f123.x
Warner Music Group Corp.,COM,934550203,0,47449170,data/raw/SoutheasternAssetManagement/13f123.x
Westrock Coffee Company,COM,96145W103,0,47014,data/raw/SoutheasternAssetManagement/13f123.x
Westrock Coffee Company,COM,96145W103,0,12240000,data/raw/SoutheasternAssetManagement/13f123.x
Westrock Coffee Company,COM,96145W103,0,68322982,data/raw/SoutheasternAssetManagement/13f123.x
Westrock Coffee Company - Clas,COM,96145W103,0,1273,data/raw/SoutheasternAssetManagement/13f123.x
Westrock Coffee Company - Clas,COM,96145W103,0,326380,data/raw/SoutheasternAssetManagement/13f123.x
Westrock Coffee Company - Clas,COM,96145W103,0,2218267,data/raw/SoutheasternAssetManagement/13f123.x
White Mountains Insurance Grou,COM,G9618E107,0,4398326,data/raw/SoutheasternAssetManagement/13f123.x
White Mountains Insurance Grou,COM,G9618E107,0,69342847,data/raw/SoutheasternAssetManagement/13f123.x
XPO Logistics Inc,COM,983793100,0,513239,data/raw/SoutheasternAssetManagement/13f123.x
