NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,DATE
Affiliated Managers Group Inc.,COM,008252108,0,881188,data/raw/SoutheasternAssetManagement/13f422.x
Affiliated Managers Group Inc.,COM,008252108,0,92203250,data/raw/SoutheasternAssetManagement/13f422.x
Alphabet Inc. CL C,COM,02079K107,0,35395728,data/raw/SoutheasternAssetManagement/13f422.x
Alphabet Inc. CL C,COM,02079K107,0,679051,data/raw/SoutheasternAssetManagement/13f422.x
Alphabet Inc. CL C,COM,02079K107,0,61451559,data/raw/SoutheasternAssetManagement/13f422.x
Anywhere Real Estate Inc,COM,75605Y106,0,23458,data/raw/SoutheasternAssetManagement/13f422.x
Anywhere Real Estate Inc,COM,75605Y106,0,212429,data/raw/SoutheasternAssetManagement/13f422.x
Anywhere Real Estate Inc,COM,75605Y106,0,41579998,data/raw/SoutheasternAssetManagement/13f422.x
Cardinal Health Inc,COM,14149Y108,0,1290263,data/raw/SoutheasternAssetManagement/13f422.x
CNH Industrial NV - U.S.,COM,N20944109,0,14311660,data/raw/SoutheasternAssetManagement/13f422.x
CNH Industrial NV - U.S.,COM,N20944109,0,547903,data/raw/SoutheasternAssetManagement/13f422.x
CNH Industrial NV - U.S.,COM,N20944109,0,12947203,data/raw/SoutheasternAssetManagement/13f422.x
CNX Resources Corp,COM,12653C108,0,44409842,data/raw/SoutheasternAssetManagement/13f422.x
CNX Resources Corp,COM,12653C108,0,148906050,data/raw/SoutheasternAssetManagement/13f422.x
Comcast Corporation Cl A,COM,20030N101,0,333299,data/raw/SoutheasternAssetManagement/13f422.x
Douglas Emmett Inc,COM,25960P109,0,6673126,data/raw/SoutheasternAssetManagement/13f422.x
Douglas Emmett Inc,COM,25960P109,0,62391,data/raw/SoutheasternAssetManagement/13f422.x
Douglas Emmett Inc,COM,25960P109,0,24249277,data/raw/SoutheasternAssetManagement/13f422.x
Empire State Realty Trust Inc.,COM,292104106,0,34064,data/raw/SoutheasternAssetManagement/13f422.x
Empire State Realty Trust Inc.,COM,292104106,0,55701032,data/raw/SoutheasternAssetManagement/13f422.x
FedEx Corporation,COM,31428X106,0,49189666,data/raw/SoutheasternAssetManagement/13f422.x
FedEx Corporation,COM,31428X106,0,877085,data/raw/SoutheasternAssetManagement/13f422.x
FedEx Corporation,COM,31428X106,0,85892651,data/raw/SoutheasternAssetManagement/13f422.x
Fiserv Inc,COM,337738108,0,24021711,data/raw/SoutheasternAssetManagement/13f422.x
Fiserv Inc,COM,337738108,0,717395,data/raw/SoutheasternAssetManagement/13f422.x
Fiserv Inc,COM,337738108,0,66010030,data/raw/SoutheasternAssetManagement/13f422.x
General Electric,COM,369604301,0,56805598,data/raw/SoutheasternAssetManagement/13f422.x
General Electric,COM,369604301,0,890269,data/raw/SoutheasternAssetManagement/13f422.x
General Electric,COM,369604301,0,98244445,data/raw/SoutheasternAssetManagement/13f422.x
Graham Holdings Company,COM,384637104,0,13822512,data/raw/SoutheasternAssetManagement/13f422.x
Graham Holdings Company,COM,384637104,0,742574,data/raw/SoutheasternAssetManagement/13f422.x
Graham Holdings Company,COM,384637104,0,55361950,data/raw/SoutheasternAssetManagement/13f422.x
H World Group Limited ADR,COM,44332N106,0,24904952,data/raw/SoutheasternAssetManagement/13f422.x
Hyatt Hotels Corp. -  Class A,COM,448579102,0,33178779,data/raw/SoutheasternAssetManagement/13f422.x
Hyatt Hotels Corp. -  Class A,COM,448579102,0,699450,data/raw/SoutheasternAssetManagement/13f422.x
Hyatt Hotels Corp. -  Class A,COM,448579102,0,130135299,data/raw/SoutheasternAssetManagement/13f422.x
IAC Inc,COM,44891N208,0,43600312,data/raw/SoutheasternAssetManagement/13f422.x
