NAME_OF_ISSUER,TITLE_OF_CLASS,CUSIP,VALUE,SHARES,DATE
IAC Inc,COM,44891N208,0,71312749,data/raw/SoutheasternAssetManagement/13f422.x
JOYY Inc. ADR,COM,46591M109,0,23749172,data/raw/SoutheasternAssetManagement/13f422.x
Lazard Ltd,COM,G54050102,0,5021291,data/raw/SoutheasternAssetManagement/13f422.x
Lazard Ltd,COM,G54050102,0,709799,data/raw/SoutheasternAssetManagement/13f422.x
Lazard Ltd,COM,G54050102,0,82786205,data/raw/SoutheasternAssetManagement/13f422.x
Liberty Broadband Corporation ,COM,530307107,0,214200,data/raw/SoutheasternAssetManagement/13f422.x
Liberty Broadband Corporation ,COM,530307305,0,16516116,data/raw/SoutheasternAssetManagement/13f422.x
Liberty Broadband Corporation ,COM,530307305,0,59026802,data/raw/SoutheasternAssetManagement/13f422.x
Liberty Media Corp - Braves C,COM,531229888,0,54372,data/raw/SoutheasternAssetManagement/13f422.x
Liberty Media Corp - Braves C,COM,531229888,0,76480501,data/raw/SoutheasternAssetManagement/13f422.x
Lumen Technologies,COM,550241103,0,45752783,data/raw/SoutheasternAssetManagement/13f422.x
Lumen Technologies,COM,550241103,0,162452873,data/raw/SoutheasternAssetManagement/13f422.x
Madison Square Garden Sports C,COM,55825T103,0,45466,data/raw/SoutheasternAssetManagement/13f422.x
Madison Square Garden Sports C,COM,55825T103,0,988699,data/raw/SoutheasternAssetManagement/13f422.x
Madison Square Garden Sports C,COM,55825T103,0,68552037,data/raw/SoutheasternAssetManagement/13f422.x
Masonite International Corpora,COM,575385109,0,20717,data/raw/SoutheasternAssetManagement/13f422.x
Masonite International Corpora,COM,575385109,0,32554671,data/raw/SoutheasternAssetManagement/13f422.x
"Mattel, Inc.",COM,577081102,0,48135852,data/raw/SoutheasternAssetManagement/13f422.x
"Mattel, Inc.",COM,577081102,0,475757,data/raw/SoutheasternAssetManagement/13f422.x
"Mattel, Inc.",COM,577081102,0,166085333,data/raw/SoutheasternAssetManagement/13f422.x
Melco Resorts & Entertainment ,COM,585464100,0,930649,data/raw/SoutheasternAssetManagement/13f422.x
MGM Resorts International,COM,552953101,0,37813424,data/raw/SoutheasternAssetManagement/13f422.x
MGM Resorts International,COM,552953101,0,465966,data/raw/SoutheasternAssetManagement/13f422.x
MGM Resorts International,COM,552953101,0,86571375,data/raw/SoutheasternAssetManagement/13f422.x
Oscar Health Inc,COM,687793109,0,20767,data/raw/SoutheasternAssetManagement/13f422.x
Oscar Health Inc,COM,687793109,0,35838417,data/raw/SoutheasternAssetManagement/13f422.x
Paya Holdings Inc,COM,70434P103,0,724418,data/raw/SoutheasternAssetManagement/13f422.x
PVH Corp,COM,693656100,0,30148424,data/raw/SoutheasternAssetManagement/13f422.x
PVH Corp,COM,693656100,0,69832216,data/raw/SoutheasternAssetManagement/13f422.x
RenaissanceRe Holdings Ltd.,COM,G7496G103,0,759580,data/raw/SoutheasternAssetManagement/13f422.x
RenaissanceRe Holdings Ltd.,COM,G7496G103,0,867171,data/raw/SoutheasternAssetManagement/13f422.x
RXO Inc.,COM,74982T103,0,752173,data/raw/SoutheasternAssetManagement/13f422.x
Stanley Black & Decker Inc,COM,854502101,0,6810454,data/raw/SoutheasternAssetManagement/13f422.x
Stanley Black &amp; Decker Inc,COM,854502101,0,25896794,data/raw/SoutheasternAssetManagement/13f422.x
Syneos Health Inc,COM,87166B102,0,386974,data/raw/SoutheasternAssetManagement/13f422.x
Vimeo Inc.,COM,92719V100,0,22196,data/raw/SoutheasternAssetManagement/13f422.x
Vimeo Inc.,COM,92719V100,0,35205678,data/raw/SoutheasternAssetManagement/13f422.x
Warner Bros Discovery Inc,COM,934423104,0,42764583,data/raw/SoutheasternAssetManagement/13f422.x
Warner Bros Discovery Inc,COM,934423104,0,455059,data/raw/SoutheasternAssetManagement/13f422.x
Warner Bros Discovery Inc,COM,934423104,0,70568295,data/raw/SoutheasternAssetManagement/13f422.x
Warner Music Group Corp.,COM,934550203,0,28142562,data/raw/SoutheasternAssetManagement/13f422.x
Warner Music Group Corp.,COM,934550203,0,49835386,data/raw/SoutheasternAssetManagement/13f422.x
Westrock Coffee Company,COM,96145W103,0,51316,data/raw/SoutheasternAssetManagement/13f422.x
Westrock Coffee Company,COM,96145W103,0,13360000,data/raw/SoutheasternAssetManagement/13f422.x
Westrock Coffee Company,COM,96145W103,0,90796684,data/raw/SoutheasternAssetManagement/13f422.x
Westrock Coffee Company - Clas,COM,96145W103,0,1389,data/raw/SoutheasternAssetManagement/13f422.x
Westrock Coffee Company - Clas,COM,96145W103,0,356244,data/raw/SoutheasternAssetManagement/13f422.x
Westrock Coffee Company - Clas,COM,96145W103,0,2421246,data/raw/SoutheasternAssetManagement/13f422.x
White Mountains Insurance Grou,COM,G9618E107,0,5029357,data/raw/SoutheasternAssetManagement/13f422.x
White Mountains Insurance Grou,COM,G9618E107,0,73456057,data/raw/SoutheasternAssetManagement/13f422.x
XPO Logistics Inc,COM,983793100,0,535603,data/raw/SoutheasternAssetManagement/13f422.x
